S.No,Year,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
1,FY18,96,91,137,116,99,109,160,214.0,189.0,176.0,156.0,462.0,2005
2,FY19,486,681,955,1281,1570,2258,2560,3311.0,3171.0,2745.0,3121.0,5868.0,28007
3,FY20,3079,1668,1758,1568,1507,1558,2136,3147.0,2235.0,2942.0,2353.0,2883.0,26834
4,FY21,85,558,1511,1488,2115,3089,2953,4188.0,4948.0,5319.0,6579.0,11970.0,44803
5,FY22,5636,1315,4751,14692,16099,17959,20704,24503.0,26862.0,30041.0,35759.0,54320.0,252641
6,FY23,52389,41727,44054,46584,53129,55124,78236,77376.0,65106.0,62891.0,66091.0,85347.0,728054
7,FY24,66877,105582,46106,54614,62767,64077,75144,92018.0,75855.0,82018.0,82508.0,136560.0,944126
8,FY25,65550,77326,79995,107627,89013,90291,80850,,,,,,590652
