S.No,Year,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
1,FY18,0,2,1,0,0,0,0,11.0,0.0,0.0,0.0,5.0,19
2,FY19,0,2,1,0,0,0,1,7.0,2.0,5.0,43.0,5.0,66
3,FY20,20,38,30,35,80,33,82,30.0,51.0,9.0,19.0,7.0,434
4,FY21,0,0,0,0,0,1,8,34.0,10.0,39.0,186.0,95.0,373
5,FY22,155,84,70,49,80,79,84,34.0,220.0,128.0,133.0,78.0,1194
6,FY23,165,165,145,207,227,206,241,117.0,161.0,139.0,113.0,98.0,1984
7,FY24,88,280,204,144,269,258,239,268.0,577.0,549.0,345.0,472.0,3693
8,FY25,240,247,135,450,243,409,257,,,,,,1981
