S.No,Year,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
1,FY18,4748,6720,7178,8775,8905,7414,7250,9598.0,8719.0,8750.0,6904.0,7009.0,91970
2,FY19,6593,7276,7556,9844,9990,11130,12305,10517.0,12501.0,10533.0,8786.0,9000.0,116031
3,FY20,7888,8256,9187,10746,11527,14340,13261,15543.0,14422.0,13553.0,13622.0,10706.0,143051
4,FY21,870,668,4662,5871,5937,7747,7946,8537.0,10242.0,10931.0,12550.0,14937.0,90898
5,FY22,7951,1048,6338,1853,13309,16964,18497,18690.0,24118.0,19548.0,19621.0,24606.0,172543
6,FY23,21626,24100,27846,30489,33055,37404,35889,40403.0,35542.0,34308.0,35995.0,45225.0,401882
7,FY24,38083,44698,48151,53877,56860,57547,57006,53912.0,57653.0,53459.0,50598.0,60641.0,632485
8,FY25,42033,54731,52306,63679,60745,62898,42002,,,,,,378394
